id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag RA DEC
192 1050.6549 428.12432 0.8698394 -0.020240392 0.070885682 121 0 8669 9.4981367 -2.444096 49.035943 57.358532
193 817.16209 428.38317 0.29779588 -0.25868992 0.12444357 121 0 6197 1.4936359 -0.43561188 48.89465 57.369074
194 1759.2529 429.8973 0.69587982 0.6476819 -0.26532299 121 0 6635 2.6700591 -1.0663022 49.464288 57.326526
195 2093.5618 436.42219 0.67567863 -0.022687698 -0.053251791 121 0 7028 4.4763802 -1.6273174 49.66653 57.312839
196 1734.1191 440.62727 0.55730762 0.065695759 -0.2765276 121 0 6278 1.4802956 -0.42587112 49.450048 57.331203
197 1094.9435 444.19749 0.2882685 -0.41221257 -0.037147064 121 0 6196 1.680073 -0.56332038 49.064076 57.361778
198 451.84244 447.10513 0.44504113 -0.21207877 0.11764937 121 0 6926 4.8163432 -1.7067936 48.674838 57.391269
199 131.14575 448.42396 0.55455292 -0.26174663 0.23051121 121 0 7019 4.0126317 -1.5085732 48.480421 57.405538
200 1735.9142 453.53849 0.38457804 0.31318118 0.82479891 121 0 6151 1.125129 -0.12800576 49.452253 57.33533
202 634.45692 461.79136 0.28710627 0.10559826 0.36621505 121 0 6174 1.1521501 -0.15377269 48.786707 57.388065
203 651.81518 462.0059 0.48234886 -0.20318654 0.035566934 121 0 7349 6.9762587 -2.1090564 48.797243 57.38737
204 716.60407 463.14418 0.51130698 -0.29063151 -0.17873294 121 0 6214 1.3498192 -0.32568898 48.83659 57.38488
205 2080.9745 466.30342 0.95133988 -0.03469215 -0.25788484 121 0 6320 1.0885676 -0.092138522 49.661588 57.323184
206 2277.4039 466.65391 0.83825422 0.32638974 -0.040327434 121 0 6412 1.6028485 -0.51223122 49.780044 57.313879
207 2255.7029 470.44315 0.59751617 0.23528077 -0.043552809 121 0 6263 1.4705488 -0.41869859 49.767304 57.31616
208 408.99453 473.26202 0.47313374 -0.12217339 -0.12707057 121 0 6175 1.0835804 -0.08715286 48.650949 57.401671
209 1007.928 478.72271 0.69638311 -0.047666509 0.081226756 121 0 7729 7.3977407 -2.1727478 49.014292 57.376967
210 676.05714 480.55461 0.70654636 -0.73269012 0.092012013 121 0 6237 1.1342737 -0.13679463 48.813439 57.392355
